Null,Object_id,Hex,Color name,Size
417,11182,#614c3c,darkolivegreen,12
418,11184,#2a2a2a,dimgrey,10
419,11187,#141312,black,18
420,11188,#999999,dimgrey,4
421,11189,#2a2a2a,darkgrey,8
422,11192,#2b2f2b,darkslategrey,28
423,11193,#7d7d7d,black,12
424,11194,#838383,darkgrey,13
425,11195,#575757,darkslategrey,4
426,11199,#c2b294,tan,14
427,11201,#505050,black,3
428,19206,#3c351b,black,18
429,11205,#181311,black,56
430,11207,#2f2b29,darksalmon,16
431,11208,#3e312b,lightslategrey,33
432,11209,#545454,black,20
433,11226,#56381e,black,1
434,11227,#bcccc3,gainsboro,9
435,11228,#4e4e4e,grey,13
436,11229,#86673b,darkolivegreen,1
437,11230,#312321,darkslategrey,22
438,11231,#35311f,darkolivegreen,1
439,11232,#a1874a,darkolivegreen,1
440,11233,#61532e,darkolivegreen,6
441,11234,#859093,darkslategrey,2
442,11235,#574419,sienna,1
443,11239,#253134,lightgrey,40
444,11240,#d8c6bc,grey,7
445,11241,#12110f,sienna,7
446,11243,#3d2f1b,black,13
447,11247,#353535,darkslategrey,4
448,11249,#cbc3a6,rosybrown,1
449,11250,#6e6e6e,dimgrey,11
450,16710,#171717,dimgrey,14
451,17558,#7f7560,grey,2
452,11253,#958769,grey,7
453,11255,#868d82,grey,9
454,11256,#828e77,darkolivegreen,10
455,11258,#2c1006,darkolivegreen,9
456,11259,#bfa168,sienna,16
457,11260,#464646,silver,8
458,11261,#403130,darkslategrey,31
459,11262,#3c3c3c,darkslategrey,4
460,11263,#a88f60,darkslategrey,2
461,11264,#666666,dimgrey,2
462,11265,#967140,darkslategrey,15
463,11267,#6d6d6d,darkgrey,2
464,11269,#463c2c,darkslategrey,1
465,701989,#4c543e,saddlebrown,6
466,11273,#a09176,lightgrey,3
467,11274,#302419,black,22
468,11275,#d8d5d1,dimgrey,19
469,11276,#9c9a7d,dimgrey,4
470,11279,#6b6b6b,black,22
471,11284,#0e0b0b,black,12
472,11287,#95775d,sienna,2
473,11289,#181c1d,darkgrey,14
474,11290,#382e24,darkgrey,13
475,11301,#89877e,darksalmon,3
476,11302,#93885f,lightslategrey,2
477,11308,#5a6f67,antiquewhite,10
478,11309,#c2b19c,tan,11
479,11310,#bba47f,black,15
480,11311,#b9b097,darkgrey,2
481,11312,#747d6f,grey,4
482,11313,#8a8a8a,dimgrey,8
483,11314,#c0b8b1,darkgrey,6
484,11315,#bcbcbc,silver,12
485,11316,#7d6a47,lightslategrey,23
486,11317,#7d5f28,rosybrown,9
487,11318,#453728,darkgrey,28
488,11319,#f3e6c6,grey,23
489,11320,#6f3927,rosybrown,1
490,11321,#bcb5ab,darkgrey,27
491,11322,#8e8854,dimgrey,8
492,11324,#bca080,maroon,9
493,11325,#807860,peru,3
494,11326,#808981,dimgrey,9
495,11328,#d5dfe0,darkolivegreen,12
496,11329,#989375,grey,19
497,11332,#3c3d35,gainsboro,13
498,11347,#c8c8c8,darkgrey,9
499,11365,#161616,black,5
500,11366,#b6b6b6,black,25
501,11392,#263332,darkslategrey,34
502,11393,#655e3e,dimgrey,8
503,11395,#9da193,black,2
504,11396,#6b697b,black,9
505,11397,#625f4c,darkslategrey,35
506,16580,#42361e,olivedrab,17
507,11406,#5f5135,darkkhaki,14
508,11407,#827654,black,16
509,11408,#2a2722,black,14
510,11409,#2f332c,grey,9
511,684606,#a38664,black,15
512,11417,#614f39,tan,2
513,11418,#402f21,black,1
514,11433,#ababab,silver,10
515,11437,#1e1e1e,gainsboro,4
516,11448,#5c4b36,darkolivegreen,2
517,11470,#815223,black,8
518,11471,#3d3d3d,darkgrey,3
519,11495,#2b2b2b,darkslategrey,18
520,11512,#906f5e,darkslategrey,23
521,11515,#3c3c3c,dimgrey,15
522,11517,#797979,darkslategrey,14
523,11518,#998454,lightgrey,2
524,11543,#000201,black,18
525,11553,#898989,darkgrey,14
526,11583,#544226,sienna,16
527,11587,#533f2d,darkslategrey,18
528,11597,#7a7a7a,gainsboro,5
529,11602,#b28b71,black,3
530,11604,#46373c,lightgrey,30
531,11605,#824b20,darkgrey,12
532,11610,#38696b,lightsteelblue,27
533,11611,#8e9e9b,darkgrey,24
534,11614,#75736a,silver,11
535,11619,#9d8247,black,3
536,11620,#b6a587,saddlebrown,14
537,11621,#000000,black,22
538,11623,#9b7a4a,black,4
539,11624,#9e9e9f,darkslategrey,31
540,11626,#52402f,sienna,41
541,11627,#552c0b,peru,25
542,11651,#70502d,peru,34
543,12923,#c0bd95,darkslategrey,15
544,11654,#957b64,lightgrey,21
545,11655,#3e3e3e,gainsboro,9
546,11674,#c6c0bf,darkslategrey,31
547,11675,#a5a9a8,darkslategrey,31
548,11683,#c2c2c2,gainsboro,8
549,11703,#473e47,black,15
550,11707,#2a2319,darkolivegreen,5
551,11710,#1b1414,black,56
552,11712,#050606,black,35
553,11713,#7d868f,lightslategrey,31
554,11716,#6b6c6c,black,34
555,11718,#415559,darkslategrey,7
556,11719,#302412,black,18
557,11723,#181911,dimgrey,9
558,11728,#747474,lightslategrey,25
559,11734,#a77b2e,saddlebrown,3
560,11737,#98835c,darkolivegreen,3
561,11739,#b39766,sienna,13
562,11740,#947042,sienna,14
563,11741,#3e3e3e,darkslategrey,10
564,11742,#42382c,darkslategrey,3
565,11743,#8c6d40,sienna,3
566,16687,#e3cfc1,lightgrey,3
567,11744,#97816f,dimgrey,16
568,11745,#505039,darkolivegreen,14
569,11758,#7f5424,sienna,15
570,11759,#2f291c,darkolivegreen,6
571,11761,#beb09f,dimgrey,2
