,Object_id,Object_type,Title,Date_started,Date_finished,Medium,Classification,Met_link,Artist_id,Dept_id
5190,644078,Painting,Galleria Umberto,1925,1925,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644078,2068,4
5191,644081,Painting,The Bark,1926,1926,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644081,2068,4
5192,644082,Painting,Paris Society,1925,1947,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644082,2068,4
5193,644084,Painting,The Oyster-Eaters,1943,1943,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644084,2068,4
5194,644091,Painting,Variété,1927,1927,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644091,2068,4
5195,644092,Painting,Plaza (Hotel Lobby),1950,1950,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644092,2068,4
5196,644093,Painting,The Old Actress,1926,1926,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644093,2068,4
5197,644094,Painting,Quappi in Grey,1948,1948,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644094,2068,4
5198,644098,Painting,Quappi in Blue in a Boat,1926,1950,Gouache and oil on paper mounted on cardboard,Paintings,http://www.metmuseum.org/art/collection/search/644098,2068,4
5199,644099,Painting,Dancer with Tambourine,1946,1946,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644099,2068,4
5200,644102,Painting,"Carnival Mask, Green, Violet and Pink (Columbine)",1950,1950,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644102,2068,4
5201,644106,Painting,Woman with Mandolin in Yellow and Red,1950,1950,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644106,2068,4
5202,644136,Painting,Evening on the Terrace,1928,1928,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644136,2068,4
5203,644137,Painting,Landscape with Chimney,1926,1926,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644137,2068,4
5204,644151,Painting,Backstage,1950,1950,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644151,2068,4
5205,644189,Painting,Café Interior with Mirror-Play,1949,1949,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644189,2068,4
5206,644190,Painting,The Town (City Night),1950,1950,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644190,2068,4
5207,644191,Painting,Falling Man,1950,1950,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644191,2068,4
5208,644272,Painting,Departure,1932,1935,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644272,2068,4
5209,644808,Painting,Self-Portrait,1938,1938,Gouache on paper,Paintings,http://www.metmuseum.org/art/collection/search/644808,2068,4
5210,644822,Painting,Alfie with Mask,1934,1934,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644822,2068,4
5211,644823,Painting,San Francisco,1950,1950,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644823,2068,4
5212,644825,Painting,West Park,1950,1950,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644825,2068,4
5213,644857,Painting,Mill in Eucalyptus Forest,1950,1950,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644857,2068,4
